Version,VersionName,Package,LCOM( badness ratio),I,CBO (median aggreg),MPC,v(G)tot,RFC (median aggreg),D,C,METH,LOC,TCOM_RAT,Jc,E
2,2_ nightly-187a2b3,artofillusion.math,40,0,8,10,481,15,1504,18,220,3061,6.88,93.75,11150006
2,2_ nightly-187a2b3,artofillusion.object,70,0.4,19,26,3197,39,9621,76,1029,17105,4.25,82.69,314625536
2,2_ nightly-187a2b3,artofillusion.procedural,18.67,0.68,7,16,1991,15,6136,99,680,10956,8.39,64.47,50293702
2,2_ nightly-187a2b3,artofillusion.script,40,0.84,7,19,253,15,1044,23,127,1715,7.25,94.44,3313930
2,2_ nightly-187a2b3,artofillusion.texture,61.9,0.59,15,36,1209,21,3948,60,534,7865,4.24,83.72,33599411
2,2_ nightly-187a2b3,artofillusion.ui,65.3,0.06,9,13,1073,10,3097,67,446,6505,6.38,92.98,21864549
2,2_ nightly-187a2b3,artofillusion.unwrap,0,1,7,6,100,16,225,3,14,474,9.98,0,2021039
2,2_ nightly-187a2b3,artofillusion.util,50,0,4,16,550,10,1455,8,77,2569,12.23,85.71,42004692
2,2_ nightly-187a2b3,artofillusion.view,63.6,0.94,7,17,641,9,2527,31,182,4411,6.24,88,70566643
3,3_ nightly-6d119b1,artofillusion.animation,52,0.77,12,41,3050,31,8664,120,1131,16847,6.09,94,75724514
3,3_ nightly-6d119b1,artofillusion.image,64.5,0.57,9,42,1035,25,3183,40,374,6393,5.19,83,25979326
3,3_ nightly-6d119b1,artofillusion.keystroke,20,0.82,6,8,72,18,216,7,43,599,6.39,100,379842
3,3_ nightly-6d119b1,artofillusion.material,89,0.6,13,52,132,17,420,17,109,1151,6.77,88.89,1894649
3,3_ nightly-6d119b1,artofillusion.math,40,0,8,11,485,15,1367,18,222,3082,6.87,93.75,9824479
3,3_ nightly-6d119b1,artofillusion.object,70,0.4,19,26,3197,39,8063,76,1029,17122,4.34,82.69,254834622
3,3_ nightly-6d119b1,artofillusion.procedural,18.67,0.72,7,16,1991,15,5598,99,680,10962,8.41,64.47,41978329
3,3_ nightly-6d119b1,artofillusion.script,40,0.84,7,19,253,15,887,23,127,1715,7.25,94.44,2653827
3,3_ nightly-6d119b1,artofillusion.texture,61.9,0.6,15,36,1209,21,3634,60,534,7865,4.24,83.72,29355403
3,3_ nightly-6d119b1,artofillusion.ui,63.4,0.06,9,12,1073,10,2536,67,446,6527,6.51,92.98,15776206
3,3_ nightly-6d119b1,artofillusion.unwrap,0,1,7,6,100,16,162,3,14,474,9.98,0,1282408
3,3_ nightly-6d119b1,artofillusion.util,50,0,4,16,550,10,896,8,77,2573,12.26,85.71,23300519
3,3_ nightly-6d119b1,artofillusion.view,63.6,0.94,7,17,641,9,2032,31,182,4419,6.33,88,48242530
4,4_nightly-47c3f74,artofillusion.animation,52,0.76,12,41,3050,31,8671,120,1131,16849,6.09,94,75799897
4,4_nightly-47c3f74,artofillusion.image,64.5,0.57,9,42,1037,25,3189,40,374,6401,5.24,83,26076757
4,4_nightly-47c3f74,artofillusion.keystroke,20,0.82,6,8,72,18,216,7,43,599,6.39,100,379842
4,4_nightly-47c3f74,artofillusion.material,89,0.6,13,52,134,17,450,17,110,1159,6.72,88.89,1895044
4,4_nightly-47c3f74,artofillusion.math,40,0,8,11,485,15,1367,18,222,3083,6.9,93.75,9824479
4,4_nightly-47c3f74,artofillusion.object,70,0.4,19,26,3197,39,8069,76,1029,17126,4.34,82.69,254902727
4,4_nightly-47c3f74,artofillusion.procedural,19.7,0.72,8,16,1993,15,5593,100,682,10993,8.47,64.94,41881224
4,4_nightly-47c3f74,artofillusion.script,40,0.84,7,19,253,15,887,23,127,1715,7.25,94.44,2653827
4,4_nightly-47c3f74,artofillusion.texture,61.9,0.6,15,36,1211,21,3635,60,535,7872,4.24,83.72,29367051
4,4_nightly-47c3f74,artofillusion.ui,63.4,0.06,9,12,1085,10,2567,67,449,6563,6.49,92.98,16016756
4,4_nightly-47c3f74,artofillusion.unwrap,0,1,7,6,100,16,162,3,14,474,9.98,0,1282408
4,4_nightly-47c3f74,artofillusion.util,50,0,4,16,550,10,896,8,77,2573,12.26,85.71,23300519
